Well,Strain,Genotype,Ploidy,Media
A01,DGY1,no_stain,1N,C-lim-D0.3
A02,DGY1,10uL_500nM,1N,C-lim-D0.3
A03,DGY1,50uL_500nM,1N,C-lim-D0.3
A04,DGY1,100uL_500nM,1N,C-lim-D0.3
A05,DGY1,250uL_500nM,1N,C-lim-D0.3
A06,DGY1,500uL_500nM,1N,C-lim-D0.3
B01,DGY1,no_stain,1N,C-lim-D0.3
B02,DGY1,10uL_5uM,1N,C-lim-D0.3
B03,DGY1,50uL_5uM,1N,C-lim-D0.3
B04,DGY1,100uL_5uM,1N,C-lim-D0.3
B05,DGY1,250uL_5uM,1N,C-lim-D0.3
B06,DGY1,500uL_5uM,1N,C-lim-D0.3
